Title,SD2IEC Pluggable
Revision,2.1
Date,2019-12-18
Generated,18/12/2019 10:01:49
Company,www.hackup.net
Comment 1,
Comment 2,
Comment 3,
Comment 4,
Total Parts,48
Total Unique Parts,29



Ref,Qty,Value,Footprint,Datasheet,Manf,Manf#,
C1 C2 ,2,56p,Capacitors_SMD:C_0805_HandSoldering,, , 
C3 C4 C5 ,3,10µ,Capacitors_Tantalum_SMD:CP_Tantalum_Case-S_EIA-3216-12_Hand,, , 
C6 ,1,100n,Capacitors_SMD:C_0805_HandSoldering,, , 
C7 ,1,100n,Capacitors_SMD:C_0805_HandSoldering,~, , 
D1 ,1,red,LEDs:LED_0805_HandSoldering,, , 
D2 ,1,green,LEDs:LED_0805_HandSoldering,, , 
D3 ,1,1N5817,Diodes_THT:D_DO-41_SOD81_P7.62mm_Horizontal,, , 
J1 ,1,ISP,Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm,, , 
J2 ,1,X6,Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm,~, , 
J3 ,1,Aux,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,~, , 
J4 ,1,IEC,DIN-Connectors:DIN-6-Variable,, , 
J5 ,1,C64-CassettePort,hackup:C64-Cassette-Port-Female,, , 
J6 ,1,C64-CassettePort,hackup:C64-Cassette-Port-Male,, , 
J7 ,1,Power,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,~, , 
J8 ,1,X3,Pin_Headers:Pin_Header_Straight_1x10_Pitch2.54mm,~, , 
MH1 MH2 ,2,ZipTie,DIN-Connectors:ZipTie_3.0mm,~, , 
MH3 MH4 ,2,MountingHole,Mounting_Holes:MountingHole_2.7mm_M2.5,~, , 
Q1 Q2 Q3 Q4 ,4,BSS138,TO_SOT_Packages_SMD:SOT-23_Handsoldering,, , 
R1 R5 ,2,330,Resistors_SMD:R_0805_HandSoldering,, , 
R2 R6 R9 R12 ,4,18,Resistors_SMD:R_0805_HandSoldering,, , 
R3 R7 R10 R13 ,4,10k,Resistors_SMD:R_0805_HandSoldering,, , 
R4 R8 R11 R14 ,4,22k,Resistors_SMD:R_0805_HandSoldering,, , 
R15 ,1,2.2R,Resistors_SMD:R_0805_HandSoldering,, , 
R16 ,1,nB,Resistors_SMD:R_0805_HandSoldering,~, , 
SW1 SW2 ,2,SW_Push,Buttons_Switches_SMD:SW_SPST_FSMSM,, , 
U1 ,1,ATMEGA644-20AU,Housings_QFP:TQFP-44_10x10mm_Pitch0.8mm,, , 
U2 ,1,AMS1117-3.3,TO_SOT_Packages_SMD:SOT-223-3_TabPin2,, , 
XS1 ,1,SD Connector,lib:Conn_uSDcard,_,ebay,_
Y1 ,1,8MHz,Crystals:Crystal_HC49-4H_Vertical,, , 




BOM made with KICAD_BOM_WIZARD (https://github.com/HashDefineElectronics/KiCad_BOM_Wizard.git)
Generated 18/12/2019 10:01:49
